Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

        312  12F 000230B0 NtCreateTransactionManager
        313  130 000230C0 NtCreateUserProcess
        314  131 000230D0 NtCreateWaitCompletionPacket
        315  132 000230E0 NtCreateWaitablePort
        316  133 000230F0 NtCreateWnfStateName
        317  134 00023100 NtCreateWorkerFactory
        318  135 00023110 NtDebugActiveProcess
        319  136 00023120 NtDebugContinue
        320  137 000227F0 NtDelayExecution
        321  138 00023130 NtDeleteAtom
        322  139 00023140 NtDeleteBootEntry
        323  13A 00023150 NtDeleteDriverEntry
        324  13B 00023160 NtDeleteFile
        325  13C 00023170 NtDeleteKey
        326  13D 00023180 NtDeleteObjectAuditAlarm
        327  13E 00023190 NtDeletePrivateNamespace
        328  13F 000231A0 NtDeleteValueKey
        329  140 000231B0 NtDeleteWnfStateData
        330  141 000231C0 NtDeleteWnfStateName
        331  142 00022520 NtDeviceIoControlFile
        332  143 000231D0 NtDisableLastKnownGood
        333  144 000231E0 NtDisplayString
        334  145 000231F0 NtDrawText
        335  146 00022870 NtDuplicateObject
        336  147 000228D0 NtDuplicateToken
        337  148 00023200 NtEnableLastKnownGood
        338  149 00023210 NtEnumerateBootEntries
        339  14A 00023220 NtEnumerateDriverEntries
        340  14B 000227D0 NtEnumerateKey
        341  14C 00023230 NtEnumerateSystemEnvironmentValuesEx
        342  14D 00023240 NtEnumerateTransactionObject
        343  14E 000225E0 NtEnumerateValueKey
        344  14F 00023250 NtExtendSection
        345  150 00023260 NtFilterBootOption
        346  151 00023270 NtFilterToken
        347  152 00023280 NtFilterTokenEx
        348  153 000225F0 NtFindAtom
        349  154 00022960 NtFlushBuffersFile
        350  155 00023290 NtFlushBuffersFileEx
        351  156 000232A0 NtFlushInstallUILanguage
        352  157 000232B0 NtFlushInstructionCache
        353  158 000232C0 NtFlushKey
        354  159 000232D0 NtFlushProcessWriteBuffers
        355  15A 000232E0 NtFlushVirtualMemory
        356  15B 000232F0 NtFlushWriteBuffer
        357  15C 00023300 NtFreeUserPhysicalPages
        358  15D 00022690 NtFreeVirtualMemory
        359  15E 00023310 NtFreezeRegistry
        360  15F 00023320 NtFreezeTransactions
        361  160 00022840 NtFsControlFile
        362  161 00023330 NtGetCachedSigningLevel
        363  162 00023340 NtGetCompleteWnfStateSubscription
        364  163 00023350 NtGetContextThread
        365  164 00023360 NtGetCurrentProcessorNumber
        366  165 00023370 NtGetCurrentProcessorNumberEx
        367  166 00023380 NtGetDevicePowerState
        368  167 00023390 NtGetMUIRegistryInfo
        369  168 000233A0 NtGetNextProcess
        370  169 000233B0 NtGetNextThread
        371  16A 000233C0 NtGetNlsSectionPtr
        372  16B 000233D0 NtGetNotificationResourceManager
        373  16C 000F1B30 NtGetTickCount
        374  16D 000233E0 NtGetWriteWatch
        375  16E 000233F0 NtImpersonateAnonymousToken
        376  16F 000226A0 NtImpersonateClientOfPort
        377  170 00023400 NtImpersonateThread
        378  171 00023410 NtInitializeEnclave
        379  172 00023420 NtInitializeNlsFiles
        380  173 00023430 NtInitializeRegistry
        381  174 00023440 NtInitiatePowerAction
        382  175 000229A0 NtIsProcessInJob
        383  176 00023450 NtIsSystemResumeAutomatic
        384  177 00023460 NtIsUILanguageComitted
        385  178 00023470 NtListenPort
        386  179 00023480 NtLoadDriver
        387  17A 00023490 NtLoadEnclaveData
        388  17B 000234A0 NtLoadHotPatch
        389  17C 000234B0 NtLoadKey
        390  17D 000234C0 NtLoadKey2
        391  17E 000234D0 NtLoadKeyEx
        392  17F 000234E0 NtLockFile
        393  180 000234F0 NtLockProductActivationKeys
        394  181 00023500 NtLockRegistryKey
        395  182 00023510 NtLockVirtualMemory
        396  183 00023520 NtMakePermanentObject
        397  184 00023530 NtMakeTemporaryObject
        398  185 00023540 NtManagePartition
        399  186 00023550 NtMapCMFModule
